id,numero,nom,tantiemes,type,type_balcon,created_at
4,1,SAUTERNE,70,appart,aucun,2026-01-02 16:29:47
5,2,ENTRE 2 MERS,66,appart,aucun,2026-01-02 16:29:47
6,3,Cellier Lot 3,4,cellier,aucun,2026-01-02 16:29:47
7,4,Cellier Lot 4,3,cellier,aucun,2026-01-02 16:29:47
8,5,Cellier Lot 5,3,cellier,aucun,2026-01-02 16:29:47
9,6,Cellier Lot 6,3,cellier,aucun,2026-01-02 16:29:47
10,7,Cellier Lot 7,2,cellier,aucun,2026-01-02 16:29:47
11,8,Cellier Lot 8,3,cellier,aucun,2026-01-02 16:29:47
12,9,Cellier Lot 9,4,cellier,aucun,2026-01-02 16:29:47
13,10,LIBRAIRIE,137,appart,aucun,2026-01-02 16:29:47
14,11,Appartement Lot 11,62,appart,petit,2026-01-02 16:29:47
15,12,ST ESTEPHE,58,appart,grand,2026-01-02 16:29:47
16,13,Appartement Lot 13,44,appart,petit,2026-01-02 16:29:47
17,14,ST CROIX DU MONT,59,appart,aucun,2026-01-02 16:29:47
18,15,MARGAUX,38,appart,grand,2026-01-02 16:29:47
19,16,ST EMILION,37,appart,grand,2026-01-02 16:29:47
20,17,LISTRAC,84,appart,grand,2026-01-02 16:29:47
21,18,MOULIS,93,appart,grand,2026-01-02 16:29:47
22,19,POMEROL,121,appart,petit,2026-01-02 16:29:47
23,20,PAUILLAC,66,appart,aucun,2026-01-02 16:29:47
24,21,PESSAC LEOGNAN,43,appart,aucun,2026-01-02 16:29:47
